ticker,sector,market_cap
FMC,Basic Materials,2219549440
FOSL,Consumer Cyclical,271352928
FOX,Communication Services,24682565632
FOXA,Communication Services,24936716288
FRT,Real Estate,9281911808
FSLR,Technology,20959983616
FTI,Energy,28457713664
FTNT,Technology,61373280256
FTV,Technology,17811660800
GD,Industrials,94549581824
GDDY,Technology,11037014016
GE,Industrials,296571469824
GEN,Technology,11649766400
GHC,Consumer Defensive,4627601920
GILD,Healthcare,173408583680
GIS,Consumer Defensive,19970351104
GL,Financial Services,11213655040
GLW,Technology,127065473024
GM,Consumer Cyclical,67669762048
GME,Consumer Cyclical,10474044416
GNRC,Industrials,11389990912
GNW,Financial Services,3350803200
GOOG,Communication Services,3562082664448
GOOGL,Communication Services,3577929793536
GPC,Consumer Cyclical,14394964992
GPN,Industrials,17927680000
GRMN,Technology,45743067136
GS,Financial Services,256109641728
GWW,Industrials,52936982528
HAL,Energy,32124887040
HAS,Consumer Cyclical,12684228608
HBAN,Financial Services,32166119424
HCA,Healthcare,105513902080
HD,Consumer Cyclical,320347176960
HIG,Financial Services,37983432704
HII,Industrials,15617773568
HLT,Consumer Cyclical,70881107968
HOG,Consumer Cyclical,2464439296
HOLX,Healthcare,16888477696
HON,Industrials,145855791104
HP,Energy,3538999296
HPE,Technology,32701976576
HPQ,Technology,17909878784
HRL,Consumer Defensive,12155779072
HSIC,Healthcare,8704572416
HST,Real Estate,13334630400
HSY,Consumer Defensive,41792847872
HUBB,Industrials,26275121152
HUM,Healthcare,21445580800
HWM,Industrials,93653696512
IAC,Communication Services,3081835264
IBKR,Financial Services,115170893824
IBM,Technology,232875606016
ICE,Financial Services,92927696896
IDXX,Healthcare,45349867520
IEX,Industrials,14161030144
IFF,Basic Materials,18504235008
ILMN,Healthcare,19476402176
INCY,Healthcare,19091460096
INTC,Technology,252958507008
INTU,Technology,117565235200
INVH,Real Estate,15662675968
IP,Consumer Cyclical,18420826112
IPGP,Technology,4807282688
IQV,Healthcare,29402220544
IR,Industrials,30783051776
IRM,Real Estate,30729562112
ISRG,Healthcare,160561561600
IT,Technology,11377377280
ITW,Industrials,74416119808
IVZ,Financial Services,10710285312
J,Industrials,15117666304
JBHT,Industrials,20463374336
JBL,Technology,28687304704
JCI,Industrials,81386438656
JEF,Financial Services,8518306304
JKHY,Technology,11397951488
JNJ,Healthcare,585701851136
JPM,Financial Services,794545750016
KDP,Consumer Defensive,34387836928
KEY,Financial Services,22305083392
KEYS,Technology,49952829440
KHC,Consumer Defensive,26977544192
KIM,Real Estate,15304586240
KKR,Financial Services,84489887744
KLAC,Technology,199301152768
KMB,Consumer Defensive,31908022272
KMI,Energy,73351872512
KMX,Consumer Cyclical,6054420992
KO,Consumer Defensive,330214637568
KR,Consumer Defensive,44422897664
L,Financial Services,22255169536
LDOS,Technology,20073687040
LEN,Consumer Cyclical,21416757248
LH,Healthcare,22691387392
LHX,Industrials,66590814208
LII,Industrials,15945491456
LIN,Basic Materials,232901902336
LKQ,Consumer Cyclical,7194345472
LLY,Healthcare,837361664000
LMT,Industrials,143529492480
LNT,Utilities,18815440896
LOW,Consumer Cyclical,129596620800
LRCX,Technology,274367184896
LULU,Consumer Cyclical,18267686912
LUV,Industrials,18473555968
LVS,Consumer Cyclical,36741148672
LW,Consumer Defensive,5468845056
LYB,Basic Materials,25644730368
LYV,Communication Services,36570398720
MA,Financial Services,440364466176
MAA,Real Estate,14988545024
MAC,Real Estate,5261588480
MAR,Consumer Cyclical,87956324352
MAS,Industrials,12037251072
MCD,Consumer Cyclical,219176468480
MCHP,Technology,35498487808
MCK,Healthcare,109143719936
MCO,Financial Services,78462328832
MDLZ,Consumer Defensive,74247233536
MDT,Healthcare,111222947840
MET,Financial Services,46596816896
META,Communication Services,1453128548352
MGM,Consumer Cyclical,10032216064
MHK,Consumer Cyclical,5984308224
MKC,Consumer Defensive,13113207808
MLM,Basic Materials,36017147904
MMM,Industrials,76092350464
MNST,Consumer Defensive,70797451264
MO,Consumer Defensive,110389452800
MOH,Healthcare,7260453888
MOS,Basic Materials,8309112320
MPC,Energy,71247536128
MPWR,Technology,54937993216
MRK,Healthcare,298838032384
MRNA,Healthcare,19512074240
MRSH,Financial Services,85543133184
MS,Financial Services,263283097600
MSCI,Financial Services,40027189248
MSFT,Technology,2775695753216
MSI,Technology,73110978560
MTB,Financial Services,31313893376
MTCH,Communication Services,7422046720
MTD,Healthcare,25608593408
MTW,Industrials,421921920
MU,Technology,413021306880
MUR,Energy,5888765440
NAVI,Financial Services,789244224
NBR,Energy,1173708160
NCLH,Consumer Cyclical,8623478784
NDAQ,Financial Services,49476755456
NDSN,Industrials,14676665344
NEE,Utilities,194080063488
NEM,Basic Materials,124072050688
NFLX,Communication Services,418504835072
NI,Utilities,22725541888
NKE,Consumer Cyclical,65418137600
NKTR,Healthcare,2208686336
NOC,Industrials,100260847616
NOV,Energy,6850059264
NOW,Technology,107624587264
NRG,Utilities,32427720704
NSC,Industrials,64676745216
NTAP,Technology,20469536768
NTRS,Financial Services,26901946368
NUE,Basic Materials,39282012160
NVDA,Technology,4311464017920
NVR,Consumer Cyclical,18615214080
NWS,Communication Services,15459545088
NWSA,Communication Services,14045355008
NXPI,Technology,49161396224
O,Real Estate,58007752704
ODFL,Industrials,41401491456
OI,Consumer Cyclical,1589703296
OKE,Energy,55609896960
OMC,Communication Services,23216261120
ON,Technology,25023911936
ORCL,Technology,420995629056
ORLY,Consumer Cyclical,76654485504
OXY,Energy,62447046656
PANW,Technology,133179367424
PAYC,Technology,6784200192
PAYX,Technology,32855273472
PCAR,Industrials,62223831040
PCG,Utilities,39057891328
PEG,Utilities,40840777728
PEP,Consumer Defensive,214623387648
PFE,Healthcare,161094254592
PFG,Financial Services,19794415616
PG,Consumer Defensive,334433288192
PGR,Financial Services,114398216192
PH,Industrials,114612183040
PHM,Consumer Cyclical,22536284160
PKG,Consumer Cyclical,18240571392
PLD,Real Estate,124704497664
PM,Consumer Defensive,246403645440
PNC,Financial Services,85593251840
PNR,Industrials,14008888320
PNW,Utilities,12416983040
PODD,Healthcare,14382575616
POOL,Industrials,7465352192
PPG,Basic Materials,23104972800
PPL,Utilities,29030494208
PRGO,Healthcare,1493495552
PRU,Financial Services,33957840896
PSA,Real Estate,49213276160
PSKY,Communication Services,10583775232
PSX,Energy,70615105536
PTC,Technology,16974794752
PVH,Consumer Cyclical,3710516480
PWR,Industrials,83881140224
PYPL,Financial Services,42422460416
QCOM,Technology,135428120576
QRVO,Technology,7295936512
RCL,Consumer Cyclical,74611539968
REG,Real Estate,14389221376
REGN,Healthcare,80542629888
RF,Financial Services,22857021440
RHI,Industrials,2557921792
RIG,Energy,7267773440
RJF,Financial Services,28080220160
RL,Consumer Cyclical,21104162816
RMD,Healthcare,32709584896
ROK,Industrials,41040359424
ROL,Consumer Cyclical,25993658368
ROP,Technology,38521286656
ROST,Consumer Cyclical,71151411200
RRC,Energy,10294860800
RSG,Industrials,68955930624
RTX,Industrials,264093614080
RVTY,Healthcare,9943788544
SANM,Technology,7110103040
SBAC,Real Estate,21557641216
SBUX,Consumer Cyclical,102958538752
SCHW,Financial Services,166623363072
SHW,Basic Materials,78792376320
SIG,Consumer Cyclical,3452075008
SJM,Consumer Defensive,10186107904
SLB,Energy,74216030208
SLG,Real Estate,2737281280
SMCI,Technology,13943189504
SNA,Industrials,19031123968
SNPS,Technology,75848990720
SO,Utilities,109084672000
SPG,Real Estate,61308936192
SPGI,Financial Services,130555248640
SRE,Utilities,64810586112
SSP,Communication Services,333643808
STE,Healthcare,21465733120
STLD,Basic Materials,26107807744
STT,Financial Services,35975442432
STX,Technology,96187531264
STZ,Consumer Defensive,26322993152
SW,Consumer Cyclical,20597938176
SWK,Industrials,10658861056
SWKS,Technology,8299119616
SYF,Financial Services,24642906112
SYK,Healthcare,126974607360
SYY,Consumer Defensive,34080706560
T,Communication Services,198326353920
TAP,Consumer Defensive,8292085248
TDC,Technology,2408634880
TDG,Industrials,65904648192
TDY,Technology,28861689856
TECH,Healthcare,8312364032
TEL,Technology,61369466880
TER,Technology,48471285760
TEX,Industrials,6653724160
TFC,Financial Services,60329259008
TGT,Consumer Defensive,54546452480
TJX,Consumer Cyclical,179505889280
TKO,Communication Services,16081219584
TMO,Healthcare,182569648128
TMUS,Communication Services,225267220480
TPL,Energy,30626594816
TPR,Consumer Cyclical,28896544768
TRGP,Energy,52532068352
TRIP,Consumer Cyclical,1268455552
TRMB,Technology,15493413888
TROW,Financial Services,19663632384
TRV,Financial Services,65578414080
TSCO,Consumer Cyclical,23064713216
TSLA,Consumer Cyclical,1353089417216
TSN,Consumer Defensive,22754863104
TT,Industrials,94698078208
TTD,Communication Services,10495293440
TTWO,Communication Services,37011017728
TXN,Technology,177421991936
TXT,Industrials,15335003136
TYL,Technology,14530334720
UA,Consumer Cyclical,2342395136
UAA,Consumer Cyclical,2393501952
UAL,Industrials,29851879424
UBER,Technology,147855048704
UDR,Real Estate,13041581056
UHS,Healthcare,10794009600
ULTA,Consumer Cyclical,23839789056
UNH,Healthcare,251662204928
UNP,Industrials,145279008768
UPS,Industrials,83420889088
URBN,Consumer Cyclical,5791814144
URI,Industrials,46120316928
USB,Financial Services,82268192768
V,Financial Services,579954278400
VIAV,Technology,8535952896
VICI,Real Estate,29568235520
VLO,Energy,72989310976
VMC,Basic Materials,36546838528
VNO,Real Estate,5291789824
VRSK,Industrials,25795076096
VRSN,Technology,24088094720
VRTX,Healthcare,111447334912
VST,Utilities,51181879296
VTR,Real Estate,39550353408
VTRS,Healthcare,15479786496
VZ,Communication Services,208353607680
WAB,Industrials,43407740928
WAT,Healthcare,29846511616
WBD,Communication Services,68484911104
WDAY,Technology,34784378880
WDC,Technology,100850032640
WEC,Utilities,38295760896
WELL,Real Estate,141176274944
WFC,Financial Services,248702222336
WM,Industrials,94953308160
WMB,Energy,88045699072
WMT,Consumer Defensive,1002848518144
WRB,Financial Services,25077596160
WSM,Consumer Cyclical,21443121152
WST,Healthcare,18366394368
WTW,Financial Services,27289731072
WU,Financial Services,2768429056
WY,Real Estate,17610635264
WYNN,Consumer Cyclical,10640024576
XEL,Utilities,50371813376
XOM,Energy,669557260288
XRAY,Healthcare,2323084800
XYL,Industrials,29483327488
XYZ,Technology,36326215680
YUM,Consumer Cyclical,43338829824
ZBH,Healthcare,18012721152
ZBRA,Technology,10275670016
ZION,Financial Services,8596777984
ZTS,Healthcare,51975360512
